日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000001,平安银行,13.99,14.05,13.59,13.85,111657027,1542958577.59
2019-04-29,'000001,平安银行,13.9,14.33,13.86,14.1,103069575,1450714134.04
2019-04-26,'000001,平安银行,14.08,14.25,13.7,13.79,100942124,1407987365.79
2019-04-25,'000001,平安银行,14.38,14.64,14.13,14.13,111147637,1597895217.32
2019-04-24,'000001,平安银行,14.45,14.6,14.16,14.44,194972363,2811131027.08
2019-04-23,'000001,平安银行,14.1,14.2,13.97,14.07,94068734,1326465625.08
2019-04-22,'000001,平安银行,14.6,14.84,14.08,14.15,132227390,1899850004.34
2019-04-19,'000001,平安银行,14.45,14.8,14.3,14.73,124603609,1814875936.7
2019-04-18,'000001,平安银行,14.3,14.37,14.11,14.34,50704530,721908800.59
2019-04-17,'000001,平安银行,14.42,14.59,14.23,14.35,100410987,1443493493.41
2019-04-16,'000001,平安银行,13.67,14.58,13.55,14.58,237937518,3379550307.18
2019-04-15,'000001,平安银行,13.72,14.09,13.66,13.69,153389068,2134708981.63
2019-04-12,'000001,平安银行,13.49,13.59,13.21,13.42,77432464,1035139673.95
2019-04-11,'000001,平安银行,13.73,13.96,13.49,13.54,65535662,897382236.21
2019-04-10,'000001,平安银行,13.75,13.88,13.4,13.73,94713506,1289475602.49
2019-04-09,'000001,平安银行,13.87,13.98,13.75,13.81,78133238,1080549202.28
2019-04-08,'000001,平安银行,13.9,14.43,13.72,13.96,174317620,2464536241.47
2019-04-04,'000001,平安银行,13.43,14.0,13.43,13.86,203436500,2796366353.31
2019-04-03,'000001,平安银行,13.21,13.45,13.15,13.44,79291579,1056166231.53
2019-04-02,'000001,平安银行,13.28,13.48,13.23,13.36,110038404,1466040987.09
2019-04-01,'000001,平安银行,12.83,13.55,12.83,13.18,195140119,2588268668.87
