日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000001,上证指数,3052.6223,3088.4074,3052.6223,3078.3389,222302517,2.25498129185e+11
2019-04-29,'000001,上证指数,3090.6331,3107.7605,3050.0261,3062.4985,292114886,2.89063278922e+11
2019-04-26,'000001,上证指数,3108.1635,3129.2134,3085.8049,3086.3989,280873854,2.74776402268e+11
2019-04-25,'000001,上证指数,3190.5851,3193.7494,3123.0258,3123.8261,325879129,3.09076083735e+11
2019-04-24,'000001,上证指数,3203.5588,3210.6508,3156.607,3201.6137,274872164,2.78410852523e+11
2019-04-23,'000001,上证指数,3211.8719,3231.5815,3186.7569,3198.5938,328361207,3.24870183352e+11
2019-04-22,'000001,上证指数,3278.4906,3279.4894,3206.878,3215.0426,353217387,3.59154297129e+11
2019-04-19,'000001,上证指数,3250.1452,3274.3347,3226.8124,3270.7973,315198004,3.15131920245e+11
2019-04-18,'000001,上证指数,3261.0742,3271.3878,3241.8257,3250.2012,325539942,3.23508178629e+11
2019-04-17,'000001,上证指数,3250.1518,3275.3335,3239.8048,3263.1179,357541796,3.54509888123e+11
2019-04-16,'000001,上证指数,3164.3969,3253.5978,3153.2062,3253.5978,357918752,3.60166633559e+11
2019-04-15,'000001,上证指数,3233.4583,3253.9763,3177.2698,3177.7866,348809785,3.55666127694e+11
2019-04-12,'000001,上证指数,3184.8595,3199.278,3168.0421,3188.6256,289788996,2.8890897117e+11
2019-04-11,'000001,上证指数,3241.5474,3254.1259,3185.546,3189.9619,353031879,3.60684555862e+11
2019-04-10,'000001,上证指数,3224.6454,3264.7778,3204.8785,3241.9299,380134408,3.95669974866e+11
2019-04-09,'000001,上证指数,3240.3938,3251.6458,3215.7048,3239.6639,364169997,3.80272975904e+11
2019-04-08,'000001,上证指数,3271.2722,3288.4531,3210.5151,3244.8103,504518403,5.06431236827e+11
2019-04-04,'000001,上证指数,3233.6886,3254.1401,3216.8545,3246.5714,469117669,4.75156382127e+11
2019-04-03,'000001,上证指数,3159.1468,3219.2564,3152.3319,3216.2952,430548635,4.42622040974e+11
2019-04-02,'000001,上证指数,3183.2736,3193.2717,3164.9066,3176.8227,447068981,4.62662081758e+11
2019-04-01,'000001,上证指数,3111.6619,3176.6221,3111.6619,3170.361,466124693,4.80085938358e+11
