日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-17,'000001,上证指数,3250.1518,3275.3335,3239.8048,3263.1179,357541796,3.54509888123e+11
2019-04-16,'000001,上证指数,3164.3969,3253.5978,3153.2062,3253.5978,357918752,3.60166633559e+11
2019-04-15,'000001,上证指数,3233.4583,3253.9763,3177.2698,3177.7866,348809785,3.55666127694e+11
2019-04-12,'000001,上证指数,3184.8595,3199.278,3168.0421,3188.6256,289788996,2.8890897117e+11
2019-04-11,'000001,上证指数,3241.5474,3254.1259,3185.546,3189.9619,353031879,3.60684555862e+11
2019-04-10,'000001,上证指数,3224.6454,3264.7778,3204.8785,3241.9299,380134408,3.95669974866e+11
2019-04-09,'000001,上证指数,3240.3938,3251.6458,3215.7048,3239.6639,364169997,3.80272975904e+11
2019-04-08,'000001,上证指数,3271.2722,3288.4531,3210.5151,3244.8103,504518403,5.06431236827e+11
2019-04-04,'000001,上证指数,3233.6886,3254.1401,3216.8545,3246.5714,469117669,4.75156382127e+11
2019-04-03,'000001,上证指数,3159.1468,3219.2564,3152.3319,3216.2952,430548635,4.42622040974e+11
2019-04-02,'000001,上证指数,3183.2736,3193.2717,3164.9066,3176.8227,447068981,4.62662081758e+11
2019-04-01,'000001,上证指数,3111.6619,3176.6221,3111.6619,3170.361,466124693,4.80085938358e+11
2019-03-29,'000001,上证指数,3000.6783,3093.0329,2999.9866,3090.758,375082991,3.86699608663e+11
2019-03-28,'000001,上证指数,3009.7988,3025.7789,2991.7789,2994.9434,288106425,2.89554565454e+11
2019-03-27,'000001,上证指数,3012.2573,3022.7623,2987.7717,3022.7196,291390357,2.95075954781e+11
2019-03-26,'000001,上证指数,3057.559,3062.6896,2988.4905,2997.0954,353498021,3.4144482664e+11
2019-03-25,'000001,上证指数,3058.8016,3086.9961,3041.9504,3043.0313,380278762,3.75375662769e+11
2019-03-22,'000001,上证指数,3100.7264,3107.2754,3064.884,3104.1487,364848346,3.56678334991e+11
2019-03-21,'000001,上证指数,3094.1247,3125.0192,3086.85,3101.455,414251182,4.03939834713e+11
2019-03-20,'000001,上证指数,3084.1704,3102.5203,3053.4519,3090.6403,358557505,3.49295405518e+11
2019-03-19,'000001,上证指数,3099.8971,3113.4325,3076.3627,3090.975,350908860,3.53216791297e+11
2019-03-18,'000001,上证指数,3027.8012,3096.4176,3009.5071,3096.4176,397797179,3.98469604846e+11
2019-03-15,'000001,上证指数,3000.8789,3048.1212,2999.4317,3021.7512,341206139,3.44721502662e+11
2019-03-14,'000001,上证指数,3013.597,3041.1557,2968.8237,2990.685,373141798,3.56240351163e+11
2019-03-13,'000001,上证指数,3062.3267,3065.2884,3013.9319,3026.9513,453214625,4.51247303676e+11
2019-03-12,'000001,上证指数,3049.0844,3093.3913,3029.8999,3060.3073,511173158,4.87066630175e+11
2019-03-11,'000001,上证指数,2969.0802,3028.2543,2963.5834,3026.9925,426213029,4.04368420344e+11
2019-03-08,'000001,上证指数,3038.3362,3075.0461,2969.5815,2969.8614,577855473,5.25598246404e+11
2019-03-07,'000001,上证指数,3103.6677,3129.9395,3074.9784,3106.4179,583817065,5.25725224728e+11
2019-03-06,'000001,上证指数,3060.4327,3103.8251,3050.1113,3102.0991,555006365,4.85478321264e+11
2019-03-05,'000001,上证指数,3019.8797,3054.9617,3009.4476,3054.2466,424142529,3.82768537216e+11
2019-03-04,'000001,上证指数,3015.9427,3090.7959,3006.9417,3027.5755,525649436,4.80603655462e+11
2019-03-01,'000001,上证指数,2954.4021,2994.005,2930.8345,2994.005,345786200,3.07337666713e+11
2019-02-28,'000001,上证指数,2950.0548,2965.3037,2930.195,2940.9538,350206602,2.98763953095e+11
2019-02-27,'000001,上证指数,2939.9287,2997.4882,2924.6432,2953.8242,474976453,4.11837618669e+11
2019-02-26,'000001,上证指数,2969.0976,2995.6762,2938.6227,2941.5163,565557967,4.92396545211e+11
2019-02-25,'000001,上证指数,2838.3896,2961.7951,2838.3896,2961.2834,528658590,4.65991432608e+11
2019-02-22,'000001,上证指数,2749.4615,2804.2262,2736.3324,2804.2262,301481411,2.64518879182e+11
2019-02-21,'000001,上证指数,2759.9383,2794.0131,2744.9762,2751.8012,298649969,2.53033376928e+11
2019-02-20,'000001,上证指数,2761.0588,2767.4109,2739.9783,2761.2189,245972527,2.05446929277e+11
2019-02-19,'000001,上证指数,2759.496,2780.7837,2737.5864,2755.6459,288046271,2.47121050483e+11
2019-02-18,'000001,上证指数,2699.8171,2754.3566,2699.8171,2754.3566,260436007,2.24184077182e+11
2019-02-15,'000001,上证指数,2712.7862,2715.6321,2679.7849,2682.385,196004265,1.69823260272e+11
2019-02-14,'000001,上证指数,2715.5358,2729.455,2707.4865,2719.6999,197037349,1.70330837115e+11
2019-02-13,'000001,上证指数,2674.5198,2727.075,2666.522,2721.0683,243794010,2.0712531589e+11
2019-02-12,'000001,上证指数,2654.0349,2674.4778,2648.8295,2671.8937,184101179,1.5674154043e+11
2019-02-11,'000001,上证指数,2613.1742,2654.0964,2613.1742,2653.896,154898858,1.37307189959e+11
2019-02-01,'000001,上证指数,2597.7777,2618.4765,2590.5543,2618.2323,131986850,1.11522628284e+11
2019-01-31,'000001,上证指数,2581.3315,2606.6283,2571.5789,2584.5724,154303869,1.26013247424e+11
2019-01-30,'000001,上证指数,2584.7459,2598.815,2575.4091,2575.5756,120502571,1.01103927483e+11
2019-01-29,'000001,上证指数,2592.3549,2601.7358,2559.982,2594.2536,155581112,1.26749049398e+11
2019-01-28,'000001,上证指数,2615.7118,2630.3183,2591.1,2596.9767,146981765,1.27465636691e+11
