日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-17,'600067,冠城大通,5.05,5.15,5.03,5.11,11451468,58363707.0
2019-04-16,'600067,冠城大通,5.02,5.08,4.93,5.07,13091169,65692684.0
2019-04-15,'600067,冠城大通,5.11,5.18,5.03,5.06,14456277,73870315.0
2019-04-12,'600067,冠城大通,5.26,5.28,5.07,5.09,20758010,106592176.0
2019-04-11,'600067,冠城大通,5.04,5.27,5.0,5.25,34927218,179440772.0
2019-04-10,'600067,冠城大通,5.04,5.07,4.97,5.02,11165416,56064467.0
2019-04-09,'600067,冠城大通,5.08,5.09,5.01,5.04,10346357,52185030.0
2019-04-08,'600067,冠城大通,5.1,5.15,5.01,5.07,17233261,87450843.0
2019-04-04,'600067,冠城大通,5.09,5.16,5.06,5.09,19483230,99516040.0
2019-04-03,'600067,冠城大通,5.02,5.08,5.0,5.08,14232035,71767870.0
2019-04-02,'600067,冠城大通,5.09,5.09,5.01,5.05,16013423,80789362.0
2019-04-01,'600067,冠城大通,5.0,5.1,4.9,5.09,27064821,136558980.0
2019-03-29,'600067,冠城大通,4.8,4.98,4.78,4.97,13417869,65844922.0
2019-03-28,'600067,冠城大通,4.88,4.91,4.8,4.81,7182480,34884426.0
2019-03-27,'600067,冠城大通,4.83,4.93,4.81,4.88,9483397,46183744.0
2019-03-26,'600067,冠城大通,4.93,5.02,4.8,4.83,12813106,62947229.0
2019-03-25,'600067,冠城大通,4.92,5.03,4.89,4.93,12244249,60764165.0
2019-03-22,'600067,冠城大通,5.01,5.02,4.92,4.99,10223241,50772241.0
2019-03-21,'600067,冠城大通,5.02,5.06,4.95,5.01,19293389,96510802.0
2019-03-20,'600067,冠城大通,5.05,5.08,4.86,4.98,21580545,107208494.0
2019-03-19,'600067,冠城大通,4.99,5.17,4.93,5.09,31704335,160610834.0
2019-03-18,'600067,冠城大通,5.01,5.05,4.81,4.99,30727693,151190246.0
2019-03-15,'600067,冠城大通,4.91,5.08,4.85,4.99,46868641,233006590.0
2019-03-14,'600067,冠城大通,4.74,5.01,4.73,5.01,60322568,300616797.0
2019-03-13,'600067,冠城大通,4.53,4.62,4.51,4.55,13806201,63153111.0
